contact_gid,organization_gid,message_subject,message_date,role_in_message,interaction_type,summary,human_note
4a52af71-ae40-5fbc-b09f-02a6d4c9be71,79ef90eb-b1bc-547f-9121-003d2b620b71,,,sender,email,"{'topic': 'Запрос коммерческого предложения на амплификатор ДТ-прайм 5М1', 'product_interest': 'Амплификатор детектирующий ДТ-прайм 5М1', 'communication_stage': 'первичный запрос', 'request_type': 'запрос КП'}",
a3ac53de-6e12-5e5e-8cbc-2a8a1714c631,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,recipient,email,"{'topic': 'Запрос коммерческого предложения на амплификатор ДТ-прайм 5М1', 'product_interest': 'Амплификатор детектирующий ДТ-прайм 5М1', 'communication_stage': 'первичный запрос', 'request_type': 'запрос КП'}",
f3bd4a96-aed9-500f-9bac-9688a2705b62,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,cc,email,"{'topic': 'Запрос коммерческого предложения на амплификатор ДТ-прайм 5М1', 'product_interest': 'Амплификатор детектирующий ДТ-прайм 5М1', 'communication_stage': 'первичный запрос', 'request_type': 'запрос КП'}",
94eb1801-8daf-56c2-80b7-acfe0ef72e5d,9eafe350-6460-59f1-a7e5-12056b76f61d,,,mentioned,email,"{'topic': 'Запрос коммерческого предложения на амплификатор ДТ-прайм 5М1', 'product_interest': 'Амплификатор детектирующий ДТ-прайм 5М1', 'communication_stage': 'первичный запрос', 'request_type': 'запрос КП'}",
5dfa0842-df0d-5db7-bf05-5cd3b620f19f,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,mentioned,email,"{'topic': 'Запрос коммерческого предложения на амплификатор ДТ-прайм 5М1', 'product_interest': 'Амплификатор детектирующий ДТ-прайм 5М1', 'communication_stage': 'первичный запрос', 'request_type': 'запрос КП'}",
f3e52acf-b242-54cd-8fb3-d3c0a1cebbbc,8977c8c4-1bbf-5db2-9988-c4703a2743b1,,,sender,email,"{'topic': 'Анкета участника акции «Новый прибор за новый Фемофлор»', 'product_interest': 'Оборудование для ПЦР-диагностики: амплификаторы 785BR23985 и CFX96 785B29464', 'communication_stage': 'подтверждение участия в акции', 'request_type': 'предоставление информации для участия в акции'}",
a3ac53de-6e12-5e5e-8cbc-2a8a1714c631,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,recipient,email,"{'topic': 'Анкета участника акции «Новый прибор за новый Фемофлор»', 'product_interest': 'Оборудование для ПЦР-диагностики: амплификаторы 785BR23985 и CFX96 785B29464', 'communication_stage': 'подтверждение участия в акции', 'request_type': 'предоставление информации для участия в акции'}",
459251c8-e1af-5c99-a267-186d6f6fd001,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,sender,email,"{'topic': 'Отправка акта приема-передачи оборудования и УПД', 'product_interest': 'Амплификатор детектирующий «ДТпрайм» модификации 5 М1', 'communication_stage': 'постпродажное сопровождение', 'request_type': 'подтверждение поставки'}",
473a85c2-01e2-5273-a507-15cbac38197c,941277e9-82a4-590a-ab3b-be08f9db30e9,,,mentioned,email,"{'topic': 'Отправка акта приема-передачи оборудования и УПД', 'product_interest': 'Амплификатор детектирующий «ДТпрайм» модификации 5 М1', 'communication_stage': 'постпродажное сопровождение', 'request_type': 'подтверждение поставки'}",
4d4c02ad-2504-5497-a237-bc41daed44b9,ac12ae29-7a6b-5c7b-858d-0c26108cfc88,,,mentioned,email,"{'topic': 'Отправка акта приема-передачи оборудования и УПД', 'product_interest': 'Амплификатор детектирующий «ДТпрайм» модификации 5 М1', 'communication_stage': 'постпродажное сопровождение', 'request_type': 'подтверждение поставки'}",
